AÑO / MES / DÍA,MAX,MIN,HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
1/01/2019,0,0,0,0.0
2/01/2019,0,0,0,0.0
3/01/2019,0,0,0,0.0
4/01/2019,0,0,0,0.0
5/01/2019,0,0,0,0.0
6/01/2019,0,0,0,0.0
7/01/2019,0,0,0,6.8
8/01/2019,0,0,0,2.0
9/01/2019,0,0,0,4.5
10/01/2019,0,0,0,3.0
11/01/2019,0,0,0,0.0
12/01/2019,0,0,0,0.0
13/01/2019,0,0,0,0.0
14/01/2019,0,0,0,3.5
15/01/2019,0,0,0,48.7
16/01/2019,0,0,0,0.2
17/01/2019,0,0,0,0.0
18/01/2019,0,0,0,0.0
19/01/2019,0,0,0,0.0
20/01/2019,0,0,0,0.0
21/01/2019,0,0,0,0.0
22/01/2019,0,0,0,0.0
23/01/2019,0,0,0,0.0
24/01/2019,0,0,0,0.0
25/01/2019,0,0,0,0.0
26/01/2019,0,0,0,0.0
27/01/2019,0,0,0,0.5
28/01/2019,0,0,0,6.0
29/01/2019,0,0,0,1.1
30/01/2019,0,0,0,0.1
31/01/2019,0,0,0,0.0
